lafz	aeraab	qism	maani_en
بزباش		noun	bozbash
نابینایی		noun	blindness
مسلمون		noun	Muslim
دستگاه تناسلی		noun	reproductive system
از خاطر رفتن		verb	to fade from memory, to be forgotten
بالا رفتن		verb	to go up
فرو رفتن		verb	to go down
فروشنده		noun	seller, vendor
درگذشت		noun	death
هواشناسی		noun	meteorology
یکتاپرستی		noun	monotheism
چندخدایی		noun	polytheism
کمترین		adv	the least
پا به جهان گذاشتن		verb	to be born
پا به سن گذاشتن		verb	to get older
پا در میان گذاشتن		verb	to intervene, to intercede
پشت سر گذاشتن		verb	to pass through, to pass by (a period of time, a location)
جا گذاشتن		verb	to leave behind, to forget
کنار گذاشتن		verb	to set aside, to put aside
ردپا		noun	vestige
سفیدپوست		adj	white; white-skinned; caucasian
آمرزیدن		verb	to forgive
کینه ورزیدن		verb	to hate
کمک دادن		verb	to help, to aid, to assist
برگزیدن	بَرگُزیدَن	verb	to choose, to select
تازگی		noun	novelty
هاردکور		adj	hardcore
پرانرژی		adj	energetic
اندرکنش بنیادی		noun	fundamental interaction
اندرکنش ضعیف		noun	weak interaction
اندرکنش قوی		noun	strong interaction
کوبیدن		verb	to beat, to pound, to thrash
خال کوبیدن		verb	to tattoo
یکتاپرستانه		adj	monotheistic
نژادپرستانه		adj	racist
سرپرست		noun	supervisor
مکانیک کوانتوم		noun	quantum mechanics
لو		noun	lip
فرختن		verb	to sell
خندسن		verb	to laugh
دلپذیر		adj	nice, pleasant
پسربچه		noun	little boy, lad
دختربچه		noun	little girl
تابیدن		verb	to shine
ریزبین		noun	microscope
ور		noun	side, way, direction
چبوق		noun	pipestem
آچ		noun	Cappadocian maple (Acer cappadocicum)
بهرامی		adj	Martian
کارورزی	کاروَرزی	noun	internship
تابلوی اعلانات		noun	notice board
زیواندن		verb	to make alive
برزیستن		verb	to survive
زرتشتی		adj	Zoroastrian
ایواه		intj	pooh
گرختن		verb	to flee
واک		noun	voice
پو		noun	leg, foot
پمه	پِمّه	noun	cotton
زوو		noun	tongue
مجگ		noun	eyelash
جزگ		noun	neck
لبظ		noun	accent
کنجد		noun	sesame
تشکیلات		noun	organization(s)
شباهنگام		adv	at night
رفدن		verb	to go
گربسن		verb	to cry
رزم		noun	war, battle, combat
نامردانه		adj	uncourageous, unmanly
شبدیز		adj	black
نوزده		num	nineteen
بانده		noun	bird
اسپست		noun	alfalfa, lucerne
چرمه		noun	white horse
سینزه		num	thirteen
انگشد		noun	finger
ویس		noun	clan
چامه		noun	poem
کارآگاه		noun	detective, investigator, sleuth
پخچه		noun	fly
پیدم		noun	pennyroyal
خارگیل		noun	durian
کرنجال		noun	crab (crustacean)
پشنگه		noun	sprinkle
خنجولک		noun	tickle
دروشیدن		verb	to tremble
اشکفتن		verb	to split
سیچه		adv	why
کیمیاگر		noun	alchemist
آب زندگانی		noun	lit. water of life; Ab-i Hayat, elixir of life
شافتک		noun	whistle (act of whistling)
آذرآبادگان		noun	fire temple
نواختر		noun	nova
ابرنواختر		noun	supernova
اخترمار		noun	astronomer
همسده		noun	neighbour
شکمبه		noun	rumen
رو		noun	sigh, groan
آسیو		noun	mill
بختن		verb	to sift
خوشنویسی		noun	calligraphy
خوشنویس		noun	calligrapher
زیرشیروانی		noun	attic
مقرنس		noun	muqarnas
چندضلعی		noun	polygon
چوگان		noun	crosier
ایستگاه اتوبوس		noun	bus stop
تراشتن		verb	to shave
نومزاد		noun	candidate
واو		noun	Arabic letter waw
پرگار	پَرْگار	noun	pair of compasses
گرمابه		noun	hammam, bath
چوبدست		noun	walking stick, cane
اتفاق افتادن		verb	to occur, to happen
رخداد		noun	event
قالیچه پرنده		noun	magic carpet
مانستن		verb	to resemble
زمخت		adj	coarse, rough, harsh
نشانگان آسپرگر		noun	Asperger's syndrome
زرناپا		noun	giraffe
چغاله		noun	unripe fruit
پس پریروز		noun	two days before yesterday
تگرگ	تَگَرگ	noun	hail
اندیشیدن		verb	to think, to reflect, to meditate
تندیس		noun	statue
پایزه		noun	paiza
ون		noun	ash tree (Fraxinus sp.)
کماندار		noun	archer, bowman
مصاحبه		noun	interview
پژواک		noun	echo
همدیگر		pron	each other, one another
ماندگار		adj	permanent, eternal
پرتگاه		noun	precipice, cliff
آیه		noun	verse (of a holy book, such as the Qur'an or Bible)
نشانه سجاوندی		noun	punctuation mark
دانشکده		noun	college
بچگی		noun	childhood
غیرفصیح		adj	ineloquent, inarticulate
پراکندگی		noun	dispersion
روزبه		adj	daily fortunate, happier every day
برگشادن		verb	synonym of گشودن
برگشودن		verb	synonym of گشودن
به تازگی		adv	recently
فرداشب		noun	tomorrow night
گفتمان		noun	discourse
دنبال ... بودن		verb	to be looking for something; to be after
شیعی		adj	Shi'ite
قالیباف		noun	carpet weaver
بته جقه		noun	boteh
سرو خمیده		noun	curved cedar
رصدخانه		noun	observatory
تیمچه		noun	small or outlying sector of a bazaar
فرگرد		noun	chapter (of a book), fargard
پدرام		adj	joyous
پژوهشگر		noun	researcher
پرتکاپو		adj	active, hardworking
کشتی گرفتن		verb	to wrestle
شکل گرفتن		verb	to form, to take shape
سکس دهانی		noun	oral sex
سربازخانه		noun	barracks
دستشویی	دَسْتْشویی	noun	sink, washbasin
شوهرخاله		noun	husband of maternal aunt
دنبال ... گشتن		verb	to be looking for
تنبک		noun	tombak
منتظر ... بودن		verb	to be waiting for
شگرفی		noun	excellence
خود را گول زدن		verb	to deceive oneself
وگرنه		adv	otherwise; or else; if not
