lafz	aeraab	qism	maani_en	kyun
تفریق		noun	subtraction	arbi
حاد		adj	sharp	platts
خیاطی		noun	dressmaking	platts
جودو		noun	judo	platts
رژه		noun	line, queue	arbi
سلاخی		noun	slaughter	platts
کلان		adj	big, huge, massive	platts
نامیدن		verb	to name	platts
حاشیه		noun	border, rim, edge	arbi
مصدر		noun	infinitive (a grammatical mood)	platts
گوگردی		adj	sulfuric, sulphuric	platts
توریستی		adj	touristy	platts
جغرافی		noun	geography	arbi
درام		noun	dram (Armenian currency)	platts
دف		noun	daf (a Persian frame drum)	platts
شیاف		noun	suppository	platts
نیش		noun	sting, bite	platts
فیزیکی		adj	physical:	arbi
نهنگ		noun	crocodile or hippopotamus	platts
تراس		noun	terrace	platts
بدرود		intj	goodbye; farewell	platts
ملت		noun	nation, people	platts
تحول		noun	change, (new) development	platts
قلبی		adj	cardiac	platts
مستقیم		adj	straight	arbi
زان		noun	beech	platts
کودکی		noun	childhood	platts
لالی		noun	muteness	platts
سکو		noun	platform	platts
ادراری		adj	urinary	platts
وزغ		noun	toad	arbi
دودل		adj	hesitant	platts
دودلی		noun	hesitation	platts
فرانسوی		noun	French (language)	arbi
ایرلندی		adj	Irish	platts
سلتی		adj	Celtic	platts
مثلث		noun	triangle	platts
مثلثی		adj	triangular	platts
مس		noun	copper	platts
فلز		noun	metal	arbi
اسبی	اَسبی	adj	equine	platts
اپرا		noun	opera	platts
نعش		noun	corpse (human)	platts
فتوا		noun	fatwa (legal opinion, decree or ruling issued by a mufti)	platts
کشتار		noun	slaughter	platts
مسلخ		noun	abattoir	platts
مشترک		adj	common; joint	arbi
شماره		noun	number (position of something in a sequence)	arbi
چرمی		adj	leather	platts
دودمانی		adj	dynastic	platts
برفی		adj	snowy	platts
نوم		noun	sleep	platts
اجتماعی	اِجتِماعی	adj	social	arbi
تولید		noun	production	platts
خنک	خُنَک	adj	cool (of temperature), fresh	platts
تصادف		noun	accident, crash	arbi
شرع		noun	religious law, sharia	platts
بارانی		adj	rainy	platts
حریق	حَریق	noun	fire, conflagration	platts
رده		noun	row	arbi
مکعب		adj	cubic	arbi
آخوندک		noun	praying mantis	platts
بعدی		adj	next, following, subsequent	platts
جهانی		adj	worldwide	platts
چاپ کردن		verb	to print	rishta:چاپ
فعالیت		noun	activity	platts
عدل		noun	justice	platts
فوتون		noun	photon	arbi
آلاله		noun	buttercup	platts
آهنگر		noun	blacksmith	platts
حیاتی		adj	relating to life	platts
اقیانوسی		adj	oceanic	platts
رایج		adj	common, current, prevalent	platts
استخر		noun	pond, pool	arbi
سوخته		adj	burnt	arbi
سنبل		noun	hyacinth	arbi
یخچال		noun	refrigerator, fridge	platts
طول		noun	length (of space)	platts
لالایی		noun	lullaby	platts
بارز		adj	blatant, clear	arbi
سفر کردن		verb	to travel	rishta:سفر
کفتار		noun	hyena	arbi
عدسی		noun	lens	platts
سرعت		noun	speed	platts
لذیذ		adj	delicious, tasty	arbi
حبل		noun	rope	platts
کیهان		noun	universe	platts
کیهانی		adj	universal	platts
اسلاوی		adj	Slavic	platts
همه		pron	all	arbi
ورزش کردن		verb	to exercise	rishta:ورزش
تشکر کردن		verb	to thank	rishta:کردن
تشکر		intj	thank you	platts
مهم	مُهِمّ	noun	important task, important affair	arbi
وزن کردن		verb	to weigh	rishta:وزن
تا کردن		verb	to fold	rishta:تا
آشوب		noun	riot	platts
لایحه		noun	bill	arbi
تکه	تکّه	noun	piece	arbi
گوساله		noun	calf	arbi
سبیل		noun	mustache	platts
صحبت کردن	صُحْبَت کَرْدَن	verb	to talk	rishta:صحبت
بودایی		adj	Buddhist	platts
وقتی	وَقْتی	conj	whenever, when	platts
بامداد		noun	dawn, morning	platts
نفر		classifier	classifier for humans.	platts
بدون		prep	sans, without	platts
عجوز		noun	old woman; crone; hag; beldam	platts
آزمودن		verb	to test	platts
مداد		noun	pencil	platts
بلد		adj	knowledgeable	platts
لم		noun	trick, trickery	platts
معمولا	مَعمولاً	adv	usually, generally	arbi
نماز خواندن		verb	to perform a prescribed, regular prayer; (in Islam specifically) to perform salat	rishta:نماز
بیدار شدن		verb	to awake, to wake up	rishta:بیدار
اندام		noun	limb	platts
رایگان		adj	obtainable without payment, free	platts
تاوه		noun	frying pan	platts
متحد		adj	united, unified	arbi
کوسه		noun	shark	arbi
کود		adj	collected, not scattered	platts
فراری		noun	fugitive; runaway	platts
پتو		noun	blanket	platts
موفق		adj	successful, prosperous	platts
تنبلی		noun	laziness	platts
لبه		noun	edge	arbi
آبیاری		noun	irrigation	platts
خرید		noun	purchase; shopping	platts
کشمش		noun	raisin, sultana raisin, currant	platts
کاذب		adj	false	arbi
مهلک		adj	fatal	platts
مجروح		adj	wounded	arbi
شلوغ		adj	crowded	platts
کاست		noun	diminution, decrease, loss	platts
محصول		noun	crop	arbi
کاخ		noun	palace, mansion	platts
صدمه		noun	injury	arbi
ملیت		noun	nationality	platts
مسواک		noun	toothbrush	platts
آب سنگین		noun	heavy water	rishta:اب
میخک		noun	clove	platts
متاسف		adj	unhamzated form of متأسف (muta'assif /mota'assef, “sorry”)	arbi
خودکشی کردن		verb	to commit suicide	rishta:خودکشی
خانواده	خانِوادِه	noun	family	arbi
بیکاری		noun	unemployment	platts
اسکاتلندی		adj	Scottish	arbi
