lafz	aeraab	qism	maani_en	kyun
انبازی		noun	partnership; companionship	arbi
معشوقه		noun	mistress; female extramarital lover	arbi
گنجوی	گَنْجَوِی	adj	of, from or relating to Ganja	platts
نکبت		noun	adversity, calamity	platts
بیانیه		noun	declaration, manifesto, official statement	platts
فاجعه		noun	calamity, disaster	arbi
وثیقه		noun	bail	platts
مرتکب		noun	perpetrator (of a crime or misdeed)	platts
تخلیه		noun	emptying, action of making empty:	arbi
بیداد کردن		verb	to commit injustice	rishta:کردن
خیانت کردن		verb	to betray, including:	rishta:کردن
کروان		noun	stone curlew	platts
کوتوله		noun	dwarf, midget	arbi
مجذور		adj	square, squared (of a number)	arbi
خسارت		noun	loss, damage	platts
صرفه		noun	advantage; profit	arbi
شبه جزیره	شِبْهِ جَزیرِه	noun	peninsula	arbi
وخامت		noun	bad state; deplorable state	platts
خاطی		adj	sinning	platts
شاطی		noun	shore	platts
نوسان		noun	oscillation, upward and downward movement	platts
باربر		noun	sack truck, hand truck	platts
استراق سمع		noun	eavesdropping	rishta:سمع
گوارش		noun	stomachic; electuary	platts
بازار شام		noun	very crowded place	rishta:بازار
کیفیت		noun	quality	platts
کمیت		noun	quantity	platts
عرض کردن		verb	to petition, to request	rishta:عرض
انحصار		noun	monopoly	arbi
برهه		noun	moment, while, short interval	arbi
استخراج		noun	extraction	arbi
مسلک		noun	way, path (especially religious)	platts
پهنا		noun	width, breadth, expanse	platts
بوزیدان		noun	sweet pellitory (Pseudohandelia umbellifera, once Pyrethrum umbelliferum, Tanacetum umbelliferum)	arbi
شقاقل		noun	parsnip	platts
رنج		noun	pain, toil, trouble	platts
موسیقایی		adj	musical	platts
حمایل		noun	baldric, shoulder belt, crossbelt; belt, band, or sash worn over one's shoulder	platts
کریاس		noun	threshold; vestibule; doorsill	platts
لابه		noun	humble supplication; entreaty	arbi
کنگاش		noun	council; assembly; consultation; meeting for advice	platts
فریاد کردن	فَریاد کَردَن	verb	to shout, yell, cry, clamour, vociferate	rishta:فریاد
جاه		noun	high post; high office	platts
منجی		adj	from or relating to Munji (province or people)	platts
مبادا		conj	lest, so that... not	platts
معاشرت		noun	social intercourse; companionship	platts
رضائی		noun	a cover for head in winter	platts
جهان مطاع		adj	A laudatory epithet for royal commands or proclamations.	rishta:جہان
ذروه		noun	apex, acme	arbi
قولنجان	قُولَنْجَانْ	noun	ginger	platts
کاردار		noun	chargé d'affaires	platts
مستاجری		noun	a leasehold, rent, tenancy	arbi
جالی		noun	mesh, net	platts
دیانت		noun	religiousness, piety	platts
کتمان		noun	hiding, concealing	arbi
پیامد		noun	consequence, impact	platts
خودداری		noun	self-restraint, self-control	platts
هوری		noun	A kind of small logboat used in the Persian Gulf.	platts
حاکمیت		noun	sovereignty	platts
شامه		noun	sense of smell	platts
یخچه		noun	hailstone	platts
انقباض		noun	contraction (of muscles)	arbi
آخه		conj	because, but, after all, in conclusion	platts
سوگوار		adj	mournful; mourning	platts
سیار		adj	itinerant, wandering	platts
ماشین تحریر	ماشینِ تَحْریر	noun	typewriter	rishta:تحریر
شنیع		adj	repugnant, terrible, heinous	platts
تصریح		noun	clear explanation; clarification	platts
کورکور		noun	kite (bird)	platts
وخیم		adj	perilous, dangerous, serious (e.g. of health)	platts
آسوده		adj	calm, peaceful	arbi
درا		noun	bell	platts
اشم وهو		noun	Ashem Vohu, one of the four great Avestan mantras	platts
یشتن		verb	to worship, to perform Zoroastrian rituals	platts
وارونه		adj	upside down, inverted	arbi
سال نو	سَالِ نُوْ	noun	New Year	platts
جنگ جهانی دوم	جَنْگِ جَهانیِ دُوُّم	noun	World War II	rishta:جنگ
اسباب بازی	اَسْباب بازی	noun	toy	rishta:اسباب
دور و بر		noun	environs, nearby, surroundings	platts
مصاف		noun	battle lines; (metonymic) battle	arbi
مره	مَرَه	pron	Kabuli and Hazaragi form of مَرَا	platts
انتقادی		adj	critical	platts
بذله		noun	witticism, bon mot, joke	arbi
در سایه		prep	due to, owing to, in the wake of	arbi
مداوم		adj	continuous	platts
مستغرب		adj	bizarre, odd, peculiar	arbi
شاهیدن		verb	to reign	platts
شترنگ		noun	chess	platts
چشم بد دور		intj	touch wood, knock on wood	rishta:چشم
تا به حال		adv	up to now	rishta:تا
کیف پول	کیفِ پول	noun	wallet, purse	rishta:کیف
آگاهی		noun	knowledge, awareness, information	platts
ترن هوایی		noun	rollercoaster	arbi
کابر		noun	yearling ewe	platts
گیسه		noun	young female goat	arbi
مرکز خرید	مَرْکَزِ خَرید	noun	shopping centre	rishta:مرکز
مزمور		noun	psalm	arbi
عزت نفس		noun	self-esteem	rishta:عزت
میثاق		noun	agreement, treaty, compact	platts
محفوظ		adj	preserved, protected, guarded	arbi
معتقد		adj	convinced, persuaded, believing	arbi
محض		adj	pure, outright, absolute	arbi
اخطار		noun	warning	platts
یادآوری		noun	remembrance, recollection, commemoration	platts
ینگه		adj	only used in ینگه دنیا (yenge donyâ, “the New World, America”).	platts
دست کشیدن		verb	to stop, to cease (an activity)	rishta:دست
فروند		noun	Used to count ships; by extension, also aircraft and spacecraft.	platts
خوبی		noun	goodness, kindness	platts
صیقل		noun	polish, lustre	platts
علمی تخیلی		adj	science-fiction	rishta:علمی
نغول		noun	depth	platts
کاستی		noun	diminution, decrease, loss	platts
مختص		adj	special, particular, proper to, specific	arbi
بعضا		adv	sometimes, occasionally	platts
نیکو		adj	good, excellent, nice, fair	platts
مرحوم		adj	the deceased, the late	arbi
پاراشوت		noun	parachute (device designed to control the fall of an object or person)	platts
غیبت		noun	absence	platts
مردود		adj	rejected	platts
موقوف		adj	delayed, postponed, stopped	platts
کانون		noun	hearth, fireplace	platts
طراحی		noun	designing, sketching, modelling	platts
تراکم		noun	accumulation	arbi
روضه		noun	eulogy of the Battle of Karbala	arbi
سته		noun	berry soft fruit, e.g. grapes and strawberries	platts
قسمت کردن		verb	to share	rishta:قسمت
عمل کردن		verb	to act; to behave	platts
درخواست کردن		verb	to request; to ask for	rishta:درخواست
پیگیری		noun	follow-up	platts
جدا از		prep	besides, apart from, in addition to	rishta:جدا
اعزام		noun	dispatch, dispatching (to a far place)	platts
منفعل		adj	ashamed	platts
توحش		noun	wildness, savagery, barbarism	platts
مردمی		noun	humaneness, courtesy; quality of being a good person	platts
مطرب		noun	minstrel	platts
ماهین		adj	month, moon	platts
متجاوز		noun	rapist	arbi
قیل و قال		noun	brawl, dispute, commotion, tumult	arbi
تقلب کردن		noun	to cheat	rishta:کردن
متخاصم		adj	antagonistic, in conflict, hostile	arbi
قبیل		noun	kind, sort, type	platts
متمادی		adj	prolonged, of long duration	arbi
خط فقر		noun	poverty line	rishta:خط
مبرم		adj	urgent, pressing	arbi
قواره		noun	cut piece of cloth	platts
مؤثری		noun	nominalization of مؤثر (mu'assir /mo'asser, “effective”): effectiveness	platts
کتیرا		noun	gum tragacanth	platts
باتأنی		adj	deliberate, leisurely, stately	platts
عاطفی		adj	emotional, sentimental	platts
انفرادی		adj	solitary	arbi
اعتصاب غذا		noun	hunger strike	rishta:غذا
کسنی	کَسنی	noun	hing (oleo-gum-resin of Ferula spp.)	platts
ارد		noun	twenty-fifth day of the month	platts
بینایی		noun	eyesight, vision	platts
مناظره		noun	debate, disputation; discussion	arbi
چیره		adj	prevailing, victorious	platts
هوس کردن		verb	to crave	rishta:ہوس
شیاد		noun	fraud, imposter	platts
مصا		noun	matzah	platts
لباده		noun	cape	arbi
مفروض		adj	assumed, supposed	arbi
مطابق		adj	in accordance (with), conforming	arbi
مبتنی		adj	based (on something)	arbi
سلسله مراتب		noun	hierarchy	rishta:سلسلہ
افتتاحیه		noun	opening ceremony	arbi
شاخص		noun	index, standard	platts
تف کردن		verb	to spit	rishta:کردن
عمدی		adj	intentional, deliberate	platts
آموسنی		noun	cowife	platts
وادار کردن		verb	to oblige, to persuade, to make (someone do something)	rishta:کردن
رفو		noun	finedrawing, darning	platts
مگ		noun	Arakanese	platts
فعلی		adj	current	platts
درو		noun	harvest, reaping	platts
مصرفی		adj	consumer, relating to consumption	arbi
گاوسار		noun	mace adorned with the head of an ox	platts
رویانیدن		verb	to cause to grow, to bring forth	platts
موزون		adj	rhythmical, cadenced	arbi
نباتی		adj	relating to vegetables or plants	platts
فاتحه		noun	beginning, exordium, introduction	arbi
کاهل		adj	indolent, lazy	arbi
امساک		noun	parsimony, stinginess	platts
کاواک		noun	cavity	platts
سکایی	سَکایی	adj	Scythian	platts
تحکم		noun	domineering, highhandedness	arbi
دد		noun	wild animal; wild beast	platts
قدسی		adj	celestial, heavenly	platts
در صورتی که		conj	if, in the case that; introduces a hypothetical.	rishta:در
مصلا		noun	musalla; place for public prayer, especially a field outside the building of the mosque	platts
طاجین		noun	tajine	arbi
بیداری		noun	wakefulness, vigilance, watch	platts
فره		adj	much, many, fele, abundant	arbi
دخالت		noun	interference, intervention	platts
نمادین		adj	symbolic	platts
افترا		noun	calumny, aspersion, slander	platts
مشاطه		noun	lady's maid	arbi
علوم خفیه		noun	the occult; the occult sciences	rishta:علوم
مقبره		noun	graveyard, cemetery	arbi
رفتار كردن		verb	to behave (in a certain way)	rishta:رفتار
از طریق		prep	via, through, by means of	platts
ناشناس		adj	unknown, unidentified	arbi
مخموری		noun	languor from alcohol; intoxication	arbi
کلگی		noun	headstall, headgear	platts
تسلیت		noun	condolence; consolation	arbi
اهمال		noun	negligence	platts
جذب کردن		verb	to attract	rishta:جذب
روایت کردن		verb	to narrate; to tell; to relate	rishta:روایت
طنز		noun	satire (genre)	arbi
خاصیت		noun	property, feature, nature	platts
مسگر		noun	coppersmith	platts
عاطر		adj	fragrant, aromatic	platts
حسینیه		noun	husayniyya	arbi
حماسی		adj	epic	platts
راحتی		noun	comfort, comfortableness, repose, ease	platts
کم نظیر		adj	unprecedented, incomparable	rishta:کم
عشوه		noun	coquetry, flirting	platts
توییت کردن		verb	To post an update to Twitter, to tweet	rishta:کردن
مشام		noun	sense of smell	platts
کارکرد		noun	function, role, effectiveness	platts
متوقف		adj	halted, paused, stopped	arbi
نمایشی		adj	dramatic (relating to drama or theater)	platts
اجبار		noun	compulsion, force	platts
تحسین		noun	admiration, applause, praise	arbi
جنایت جنگی		noun	war crime	rishta:جنگی
مواجه		adj	encountering, facing, confronting	arbi
کوچیدن		verb	to migrate, to move	platts
کوچ کردن		verb	to move, to migrate	rishta:کردن
کیس		noun	crease, wrinkle, fold	platts
کارآمد		adj	efficient, effective, skilled	arbi
تنگنا		noun	tight place; defile, gorge, bottleneck	platts
کمین		noun	ambush	platts
گرد کردن		verb	to gather together, to bring together	rishta:گرد
مثابه		noun	position, place	platts
اشاره کردن		verb	to point (with a finger)	rishta:اشارہ
نحوه		noun	manner, method	platts
اطرافی		adj	outlying, on the outskirts of	platts
برائت		noun	exemption, freedom (from)	platts
منقلب		adj	capsized, reversed	arbi
حائز		adj	owning, possessing	platts
عضویت		noun	membership	platts
غلبه		noun	victory, triumph	platts
شیون		noun	lament, lamentation, wail	platts
طریق		noun	road, way, passage	platts
خلاص کردن		verb	to finish, to complete	rishta:کردن
حومه		noun	suburb	arbi
خشکی		noun	dryness, aridity	platts
بس کردن		verb	to stop, to desist	rishta:بس
قرار شدن		verb	to be agreed	rishta:قرار
جنجال		noun	tumult, commotion, brawl	platts
سپری کردن		verb	to finish, to complete	rishta:کردن
نیمه		adj	half	arbi
لایق		adj	worthy, fit, deserving	platts
ترمیم		noun	emendation, correction, repair	arbi
منازعه		noun	conflict, dispute	arbi
منتفی		adj	ruled out, rejected	arbi
مجان		adj	gratuitous	platts
بارگی		noun	excellent horse	platts
مستغرق		adj	drowned	arbi
تشییع		noun	escorting a funeral procession	platts
صراحت		noun	clearness, explicitness, definiteness	platts
نبود		verb	Used other than figuratively or idiomatically: see ن, بود: he/she/it was not, there was no	platts
دست زدن		verb	to touch	rishta:دست
موهبت		noun	boon, gift, blessing	platts
جویینه		noun	swan	arbi
چتنی		noun	chutney (spicy condiment)	platts
اغراق		noun	exaggeration	platts
ملموس		adj	tangible	arbi
تاریخ انقضا		noun	expiration date	rishta:تاریخ
تاریخ مصرف		noun	expiration date	rishta:تاریخ
ردیابی		noun	tracing, detection	platts
تضعیف		noun	weakening	arbi
همتا		noun	peer, match, equal	platts
تسهیل		noun	facilitation	arbi
قفلی		noun	mould	platts
تهیه کردن		verb	to prepare, to make ready	rishta:کردن
سنگر		noun	trench, dugout	platts
نماز دیگر		noun	ʿaṣr prayer (the Islamic afternoon prayer)	rishta:نماز
به دست آمدن		verb	to be obtained, to be achieved	rishta:بہ
چای صبح		noun	breakfast (first meal of the day)	rishta:چای
بررسی کردن		verb	to investigate, to check	rishta:کردن
شکوفا		adj	blossoming, in blossom	arbi
اعمال کردن		verb	to use, to exert, to apply	platts
ارسال کردن		verb	to send, to dispatch	rishta:کردن
مقایسه کردن		verb	to compare	rishta:کردن
خواهان		adj	wanting, desirous	platts
خاوران		noun	synonym of خاور (xâvar)	platts
ذکر کردن		verb	to mention, to indicate	rishta:ذکر
بجای		adj	in lieu	platts
جامدانی		noun	jamdani	platts
نوحه		noun	mourning, lamentation, wailing	platts
برباد دادن		verb	to dissipate, to squander, to waste away	rishta:برباد
اعجوبه	اُعْجُوبَة	noun	miracle, wonder	arbi
عسس		noun	night watch, nocturnal patrol, nocturnal police	platts
شامورتی		noun	cheat, scoundrel, swindler	platts
غین		noun	the letter غ	platts
گاف		noun	The name of the letter: گ	platts
بقه		noun	breeding bull, sire bull	arbi
خبیث		adj	impure, wicked, perverse	arbi
مولوی		adj	judicial	platts
بندگی کردن		verb	to serve, to worship	rishta:بندگی
حمل کردن		verb	to transport, to carry	rishta:حمل
تراوش		noun	oozing, leaking, exuding	platts
ثلاثه		num	three	arbi
خیل		noun	horsemen, squadron of cavalry; (by extension) army (in general)	platts
عائد به		prep	این همایش یک روز دوام میکند، و در جریان آن، بحث و بررسیها عائد به فضای اطلاعاتی برگزار میشود.
in hamâyeš yek r	arbi
عاریت		noun	something borrowed or lent; loan	platts
ساغر		noun	wine cup; wine goblet	platts
قبا کردن		verb	to tear or rip open a shirt (out of love-ecstasy)	rishta:کردن
عده		noun	number (of people)	platts
ریزش		noun	pouring down, overflow, spilling	platts
الحاح		noun	importunity, soliciting	arbi
محوطه		noun	enclosure, enclosed space	arbi
زهی		intj	bravo! well done!	arbi
کاکو		noun	Shiraz and Kerman form of کاکا (kâkâ)	platts
الغیاث		intj	help!	platts
پیر مغان		noun	innkeeper; in particular, a stock figure in poetry who runs the tavern, possesses eccentric wisdom, and initia	rishta:پیر
مساعدت		noun	assistance, aid	platts
گوارا		adj	easily digested; (loosely) delicious, tasty	platts
ستاد		noun	headquarters	platts
اذعان		noun	acknowledgement, admission	platts
با وجود	بَا وُجُودِ	prep	in spite of	platts
اکمال		noun	completion, perfection	platts
استکمال		noun	perfecting	arbi
آتشی		adj	red, dark red	platts
محک		noun	touchstone	platts
ابوالهول		noun	sphinx	arbi
اربعه		adj	fourfold, quadruple	arbi
صبیه		noun	daughter	platts
صبی		noun	boy, lad, youth	platts
صمیم		noun	pith, interior, core	platts
حسرت کشیدن		verb	to yearn for someone or something	rishta:حسرت
پارسی بان		noun	A Persian speaker (from Afghanistan, i.e. A Dari speaker)	rishta:پارسی
پاک دل		noun	sincere	platts
لمعه		noun	flash of light	arbi
عریان		adj	naked, nude	platts
مرسل		adj	dispatched, sent; (Islam) especially of prophets	platts
سیاهی لشکر		noun	extra, background actor	rishta:سیاہی
ترکتاز		noun	plundering expedition, chevauchee	platts
آبدار		adj	juicy, succulent	platts
ساداوران		noun	Persian walnut (Juglans regia)	platts
احتضار		noun	being on death's doorstep	arbi
پرند		noun	damask silk	platts
طاقت داشتن		verb	to stand, put up with, tolerate	rishta:طاقت
جریده		noun	newspaper	arbi
طناز		adj	coquettish, playful	arbi
آته		noun	Hazaragi form of اتا (atā, “father”)	platts
زریون		noun	gold-colored	arbi
میدانی		adj	relating to a square or plaza	platts
یاد کردن		verb	to remember, to commemorate	rishta:یاد
دهقانی		noun	agriculture, tillage	arbi
دریغ		noun	refusal to give, withholding, denial	platts
مولایی		noun	lordship	platts
فارغ البال		adj	at ease, tranquil, relaxed	rishta:فارغ
پراپر		adj	filled to the brim	platts
کونین		noun	the two kinds of existence: the material world and the spiritual world	platts
تسکین		noun	soothing, alleviation, appeasing, calming down, comfort	arbi
عادت کردن		verb	to get used (to)	rishta:عادت
پیف		intj	ew, ugh, yuck, pew	platts
میکده		noun	pub, tavern	arbi
نام بردن		verb	to name; to mention or say (someone or something's) name	rishta:نام
نافذ		adj	penetrating, passing through	arbi
مسلط شدن		verb	to rule, to govern	rishta:مسلط
مسلط کردن		verb	to set up (someone) to rule; to cause to dominate	rishta:مسلط
سحر حلال		noun	poetic genius; poetry	rishta:سحر
جمعیت خاطر		noun	peace of mind, composure	rishta:خاطر
ایثار		noun	generosity, selflessness, altruism	platts
جحیم		noun	Hell	platts
زمینه		noun	background (e.g. of a picture)	arbi
ماه پاره		noun	piece of the moon; shard of the moon	rishta:ماہ
آب زدن		verb	to sprinkle with water; to moisten	arbi
مسخر		adj	conquered, subjugated	platts
نگار کردن		verb	to paint	rishta:نگار
کامل العیار		adj	sterling, of a high grade of purity	rishta:کامل
کجک		noun	elephant goad, ankus	platts
سیه بهار		noun	lush, verdant spring	rishta:بہار
کیمخت		noun	chamois, shagreen	platts
سبو		noun	pitcher, jar, pot	platts
دوستدار		noun	lover, loving friend	platts
قرین		adj	connected, joined, coupled	platts
سنجاق قفلی		noun	safety pin	rishta:سنجاق
ابهت		noun	magnificence, grandeur, imposing presence	platts
خرج کردن		verb	to spend (e.g. money)	rishta:کردن
اعشاریه		noun	point (decimal point)	platts
خون خوردن		verb	to suffer, to anguish	rishta:خون
شحنه		noun	military governor of a town	arbi
تیپ		noun	brigade	platts
قانع		adj	convincing, persuasive	platts
مهجور		adj	deserted, abandoned, forsaken	platts
راه دادن		noun	to give way, to allow someone to pass or enter	rishta:راہ
مقیاس		noun	scale (i.e. on a map)	platts
تغییر اقلیم		noun	climate change	rishta:تغییر
متمایل		adj	with an incline; inclined	platts
شهره		adj	famed, renowned	arbi
خواری		noun	abjectness, contempt, baseness, abasement	platts
خون کردن		verb	to kill; to murder	rishta:خون
پوشاندن		verb	to clothe, to dress	platts
اوریگامی		noun	origami	arbi
تکلم		noun	speaking, speech, conversation	arbi
دیده		noun	eye	arbi
تقریب		noun	approximation	arbi
رقعه		noun	patch (for mending cloth)	platts
شنگرف		noun	cinnabar, vermilion	platts
چلیپا		noun	cross, crucifix	platts
گسیل		noun	dispatching, sending away	arbi
مایان		pron	synonym of ماها (mâhâ)	platts
ماها		pron	us, (only) us; usually excluding the listener, or including only a subset of some larger group.	platts
سرایت		noun	transmission, contagion, infection (of a disease)	platts
ملکوت		noun	kingdom, dominion, reign	platts
زغیر		noun	flax (Linum usitatissimum)	platts
عکس العمل		noun	reaction	rishta:عکس
خلوص		noun	purity	platts
الکی		adj	arbitrary, pointless, without reason	platts
باروری		noun	fertility (a female's ability to have offspring, or actual number of production)	platts
معضل		adj	problematic	arbi
الزامی		adj	mandatory, compulsory, obligatory	platts
تکدی		noun	begging, mendacity	platts
پشیمان شدن		verb	to regret	rishta:پشیمان
کاوش		noun	excavation, dig	platts
کلافه		adj	stuffy, boiling hot, oppressively hot	arbi
آب و هوایی		adj	climatic; related to the climate	platts
مخترع		noun	inventor	platts
مشرق زمین		noun	the East, the Orient	rishta:مشرق
گودال		noun	pit, hollow, depression	platts
پاسبانی		noun	watching over, guarding	platts
خرام		noun	elegant gait	platts
قضیه		noun	case, matter, issue, affair	arbi
شیرجه		noun	diving, plunging (into water; also metaphorical)	arbi
سوگواری		noun	mourning	platts
سوگواری کردن		verb	to mourn	rishta:کردن
نفی		noun	negation	platts
اجمال		noun	abridgment, synopsis, summary	platts
کندوکاو		noun	inquiry, search	platts
جا زدن		verb	to fake, to pass off as, to pretend to be something else	arbi
مزیت		noun	good point, benefit	arbi
سبعه		num	seven; synonym of هفت (haft)	platts
عقده		noun	complex, knot	arbi
فرق کردن		verb	to be different	rishta:کردن
ریاکار		adj	hypocritical	platts
کجایی		adj	from where?	platts
بی خیال		adj	unconcerned, nonchalant	platts
تن کردن		verb	to wear, to put on (clothes)	rishta:تن
حسابی		adj	arithmetic; relating to arithmetic	arbi
حین		noun	time, moment	platts
محکم		adj	tight, firm, fast	platts
نه پس		intj	no; really (indicating that what another person has said was obvious and unnecessary)	rishta:نہ
نیابتی		adj	proxy	platts
استدلال کردن		verb	to argue (that)	rishta:استدلال
نصوح		adj	sincere, truthful	platts
وثوق		noun	reliability, confidence, trust	platts
آهنگ کردن		verb	to intend (to do something); to be about to, to be prepared for	rishta:اہنگ
چت کردن		verb	to chat	rishta:کردن
تلفیق		noun	composition, composite, something put together	arbi
درخور		adj	suitable, fitting, appropriate	platts
سنگ صبور		noun	A legendary stone said to listen and react to the stories of sad people.	rishta:سنگ
آتیه		adj	future	platts
یکنواخت		adj	monotonous, uniform	platts
بستری		adj	hospitalized	platts
در به دری		noun	wandering, going from door to door	rishta:در
کرجی		noun	small boat, barge	platts
سر سوزن		noun	point of a needle	rishta:سر
شست		noun	thumb	platts
پرتاب		noun	throw, toss, hurl, shot	platts
حفر کردن		verb	to dig	rishta:کردن
منسجم		adj	coherent, cohesive	arbi
شفاهی		adj	oral, spoken	arbi
به وقوع پیوستن		verb	to occur, to come into being	rishta:بہ
شهودی		adj	intuitive	platts
تلاقی		noun	intersection, confluence, junction, place of meeting	platts
تزیینی		adj	decorative	arbi
تشعیر		noun	decorative marginalia	platts
استثنایی		adj	exceptional, outstanding	platts
اغراق کردن		noun	to exaggerate	rishta:کردن
پاتوق		noun	hangout, haunt; favorite place one goes regularly	platts
رایحه		noun	scent, odor, fragrance	arbi
خیره کردن		verb	to cause to stare:	rishta:کردن
خطور کردن		verb	to occur, to strike, to come (to mind)	rishta:کردن
معطلی		noun	delay	platts
مصنوع		adj	manufactured, crafted	platts
نعل در آتش		noun	"horseshoe in the fire"; restlessness, uneasiness	rishta:نعل
دسیسه		noun	intrigue, scheme, complot	arbi
مستظرف		adj	elegant, fine	arbi
درایت		noun	tact, discernment	platts
تعویض		noun	replacement, exchange	platts
طراحی کردن		verb	to plan, to design	rishta:کردن
حراج		noun	sale (discount)	platts
منادی		noun	herald	platts
تأسی		noun	following the lead of, taking as a model, imitating	platts
اسف		noun	sorrow, grief	platts
عامه		noun	public, populace, common people	platts
جان نثار		adj	devoted for the sake of someone; nowadays mainly used in taarof phrases.	rishta:جان
متناقض		adj	contradictory	arbi
صحرایی		adj	desert	platts
زایمان کردن		verb	to give birth	rishta:کردن
مهراوه		noun	sun temple	platts
ترویج		noun	circulation, propagation, causing to circulate	arbi
وردار		noun	Kashan form of برادر (barâdar)	platts
شمایل		noun	good qualities, virtues	platts
له له		noun	The sound of a dog panting.	arbi
هیوادوال		noun	fellow (Afghan) citizen	platts
تقدیم		noun	offering, proffering, dedicating	arbi
گسی		noun	dispatching, sending away	platts
هاری		noun	rabies	platts
تزریق		noun	injection	arbi
دهات		noun	countryside; rural area	platts
صدد		noun	purpose, intention, design	platts
ابقا		noun	maintaining, retaining (e.g. a position of power)	platts
خنده کردن		verb	synonym of خندیدن (xandidan)	rishta:کردن
دمادم		adj	incessant, at every moment	platts
احداث کردن		verb	to create, to construct	rishta:کردن
مرغ چمن		noun	nightingale	rishta:چمن
خویشاوند		noun	relative, kinsman, kinsperson	platts
فردم		noun	first	platts
شمولی		adj	universal, inclusive	platts
متمایز		adj	distinguished, distinct	arbi
مغذی		adj	nutritive, relating to nutrition	platts
لقا		noun	face, visage, countenance	platts
هندوآریایی		adj	Indo-Aryan	platts
ساپورت کردن		verb	to support (various senses)	rishta:کردن
مدیریت کردن		verb	to manage, to handle effectively	rishta:کردن
قاطی		adj	mixed, mingled, blended	platts
میل شدن		noun	to be eaten	rishta:میل
تعزیر		noun	discretionary punishment	platts
سرسری		adj	ill-advised, unwise	platts
واله		adj	enamored, distraught (e.g. with love)	platts
تنعم		noun	life of luxury	platts
تقدیم کردن		verb	to present, to offer	rishta:کردن
نجوا کردن		verb	to whisper	rishta:کردن
طراوت		noun	freshness	platts
قلم کردن		verb	to snap in half (as one would snap a reed pen)	rishta:قلم
جیش کردن		verb	to pee	rishta:جیش
قرائت		noun	reading (way to read or understand a text)	platts
صیام		noun	fast (period of abstinence)	platts
سنگدل		adj	stony, hardhearted, heartless, cruel	platts
جامه گلگون		noun	A metonymy for the beloved.	rishta:جامہ
خانی		noun	khanship	platts
مقدور		adj	predestined	platts
کاتالانی		adj	Catalan	arbi
اکسیتانی		adj	Occitan	platts
توبال		noun	metal flakes, dross, filings	platts
آخر شدن		verb	to be finished, to come to an end	rishta:اخر
آشام		noun	drink	platts
غریق		adj	drowned	platts
به اصطلاح		adv	so-called, supposedly	rishta:بہ
شاشو		adj	enuretic, bedwetting	platts
علیم		adj	knowledgeable, knowing, learned	platts
رسم کردن		verb	to draw	rishta:رسم
قایم موشک		noun	hide and seek	rishta:قایم
ارجاع		noun	anaphora (An expression that can refer to virtually any referent)	platts
پی بردن		verb	to follow, to pursue, to be in search of	rishta:پی
دورکار		noun	telecommuter, remote worker	platts
فتراک		noun	saddle strap, a long rope used to fasten items to a horse's back.	arbi
عشرت		noun	pleasure, enjoyment	platts
گوشه چشم		noun	canthus, corner of the eye	rishta:چشم
چون منی		noun	someone like me	rishta:چون
جان دارو		noun	antidote, cure	arbi
حالیا		adv	presently, as of now	platts
اندکی		adv	few	platts
اندک		adj	few, little, scanty	platts
استفراغ کردن		verb	to vomit	rishta:کردن
فرو کردن		verb	to sink	rishta:کردن
چاقو زدن		verb	to stab	rishta:چاقو
گره زدن		verb	to tie	rishta:گرہ
جاری بودن		verb	to flow	rishta:جاری
یخ زدن		verb	to freeze	platts
باد کردن		verb	to swell	rishta:باد
پرماه		noun	drill, auger, borer, gimlet	platts
پرمایه		adj	rich, opulent	platts
سر کشیدن		verb	to quaff, to gulp down (a drink)	rishta:سر
یگانگی		noun	oneness, uniqueness, unity	platts
ریم		noun	filth	platts
هویار		adj	having a good property	platts
سروقد		adj	of a stature like a cypress; tall, slender, and beautiful	platts
نگال		noun	coal	platts
سایبان		noun	shade (of a tree or foliage)	arbi
گواهی		noun	testimony, testimonial	platts
لایعقل		adj	unreasonable, irrational	platts
به درد خوردن		verb	to avail, to come in handy, to be useful	rishta:بہ
شکنجه دادن		verb	to torture	rishta:شکنجہ
کم لطفی		noun	poor treatment, unjust treatment	rishta:کم
میله		noun	rod, shaft	platts
متلک		noun	teasing	platts
نهالی		noun	mattress or bedding for sleeping	arbi
صریح		adj	evident, plain, clear	platts
چندر غاز		noun	pittance, trifling (of money)	rishta:چندر
ریشه دواندن		verb	to put down roots	rishta:ریشہ
صیت		noun	fame, renown	platts
ناشیانه		adj	clumsy, inattentive; (adverbially) inattentively, carelessly	arbi
بدک		adj	bad; mainly used only in بدک نیست (badak nist, “is not bad”).	platts
درد دل		noun	heartfelt complaint, grievance	rishta:درد
گورکانی		adj	Mughal (of India)	arbi
به نوعی		adv	in a way, in a manner of speaking, in some ways	platts
رحیل		noun	departure	arbi
بنگی		noun	cannabis user, cannabis addict	platts
رو آوردن		verb	to turn towards	platts
تلقین		noun	inculcation, repeated instruction	platts
طفلک		noun	poor kid; a term of endearment and pity for a child.	platts
سواحلی		adj	Swahili-language	platts
فریاد خواستن		verb	to seek help, to seek justice	rishta:فریاد
فریاد رسیدن		verb	to deliver help, to deliver justice	rishta:فریاد
ارعاب		noun	terrifying; disseminating terror	platts
اوباش		noun	thugs, miscreants, street gangsters	platts
سیامی		adj	Siamese	platts
بلاروسی		adj	Belarusian	arbi
خوشا		adj	how happy, how pleasing, how blessed...	platts
